# Source data for unit.plist; compile with mkunits

#className = BAUnit

name       side strength originalStrength mps morale mode location_column location_row  leadership imageXIdx imageYIdx turn
#--------------------------------------------------------------------------------------------------------------------------
Bartow     0    1200     1200             0   15     4    12              10            33         0         0         0
Bee        0    1800     1800             0   15     4    11              10            37         1         0         0
Bonham     0    3300     3300             0   10     4    11              08            23         2         0         0
Cocke      0    2700     2700             0   10     4    07              06            16         3         0         0
Early      0    1800     1800             0   20     4    12              09            45         4         0         0
Evans      0    1500     1500             0   20     4    06              04            49         5         0         0
Ewell      0    2500     2500             0   10     4    14              11            20         6         0         0
Holmes     0    1200     1200             0   10     4    13              11            12         7         0         0
Jackson    0    3000     3000             0   20     4    11              09            59         8         0         0
Jones      0    2100     2100             0   10     4    13              09            26         9         0         0
Kershaw    0    1400     1400             0   10     4    10              07            39         10        0         0
Longstreet 0    3000     3000             0   15     4    12              08            60         11        0         0
Smith      0    3000     3000             0   10     4    09              12            40         12        0         5

Blenker    1    2700     2700             0   10     3    14              03            14         0         1         0
Burnside   1    3000     3000             0   10     3    07              01            17         1         1         0
Davies     1    2400     2400             0   10     3    12              03            30         2         1         0
Franklin   1    2400     2400             0   10     3    09              01            36         3         1         0
Howard     1    2700     2700             0   10     3    11              02            35         4         1         0
Keyes      1    2700     2700             0   10     3    09              03            29         5         1         0
Militia    1    2500     2500             0   10     3    -1              -1            10         6         1         0
Porter     1    3000     3000             0   15     3    08              01            47         7         1         0
Richardson 1    3000     3000             0   15     3    13              06            38         8         1         0
Schenck    1    2100     2100             0   10     3    07              04            13         9         1         0
Sherman    1    3000     3000             0   20     3    08              03            50         10        1         0
Volunteers 1    2500     2500             0   10     3    -1              -1            19         11        1         0
Willcox    1    2100     2100             0   10     3    10              01            43         12        1         0
